id,user,uid,version,changeset,timestamp
317894751,nmixter,55774,1,27564464,2014-12-19T08:19:44Z
317894761,nmixter,55774,1,27564464,2014-12-19T08:19:45Z
317894771,nmixter,55774,1,27564464,2014-12-19T08:19:46Z
317894781,nmixter,55774,1,27564464,2014-12-19T08:19:47Z
317894791,nmixter,55774,1,27564464,2014-12-19T08:19:47Z
317946879,matthieun,595221,1,27571976,2014-12-19T15:51:53Z
318031489,AndrewSnow,371121,1,27582084,2014-12-20T03:54:21Z
318110207,Bike Mapper,74705,1,27593779,2014-12-20T18:00:47Z
318167722,AndrewSnow,371121,1,27601197,2014-12-21T03:13:13Z
318173782,Bike Mapper,74705,1,27602045,2014-12-21T05:22:00Z
318325981,doug_sfba,1796809,1,27622980,2014-12-22T04:26:19Z
318325991,doug_sfba,1796809,2,27767327,2014-12-29T01:20:39Z
318329118,doug_sfba,1796809,1,27623342,2014-12-22T05:46:49Z
318329128,doug_sfba,1796809,1,27623342,2014-12-22T05:46:50Z
318329139,doug_sfba,1796809,3,36378855,2016-01-05T11:52:52Z
318412474,TorhamZed,1007528,1,27636431,2014-12-22T19:02:16Z
318468279,doug_sfba,1796809,1,27643397,2014-12-23T03:49:54Z
318468289,doug_sfba,1796809,1,27643397,2014-12-23T03:49:55Z
318473444,pluton_od,2411240,1,27644211,2014-12-23T06:09:14Z
318623698,stevea,123633,1,27659964,2014-12-23T21:07:42Z
318662307,nmixter,55774,1,27663375,2014-12-24T02:16:01Z
318662320,nmixter,55774,1,27663375,2014-12-24T02:16:01Z
318662332,nmixter,55774,1,27663375,2014-12-24T02:16:02Z
318662344,nmixter,55774,1,27663375,2014-12-24T02:16:02Z
318662356,nmixter,55774,1,27663375,2014-12-24T02:16:03Z
318662368,nmixter,55774,1,27663375,2014-12-24T02:16:04Z
318662379,nmixter,55774,1,27663375,2014-12-24T02:16:04Z
318752686,flierfy,445671,3,32031247,2015-06-17T14:56:54Z
319016278,Bike Mapper,74705,1,27717826,2014-12-26T20:36:16Z
319341417,doug_sfba,1796809,1,27767327,2014-12-29T01:20:30Z
319341427,doug_sfba,1796809,1,27767327,2014-12-29T01:20:30Z
319341437,doug_sfba,1796809,1,27767327,2014-12-29T01:20:31Z
